TSI;Sensirion;RMSE;MAE
116.49;-112.0;95.30234126499015;56.589555569345336
116.42;-112.2857;95.30234126499015;56.589555569345336
117.07;-111.9143;95.30234126499015;56.589555569345336
117.29;-111.3143;95.30234126499015;56.589555569345336
117.26;-111.3429;95.30234126499015;56.589555569345336
116.75;-110.7429;95.30234126499015;56.589555569345336
116.25;-111.8;95.30234126499015;56.589555569345336
115.66;-109.8857;95.30234126499015;56.589555569345336
115.18;-109.5714;95.30234126499015;56.589555569345336
115.32;-109.7143;95.30234126499015;56.589555569345336
114.89;-109.7143;95.30234126499015;56.589555569345336
115.11;-110.6857;95.30234126499015;56.589555569345336
114.37;-109.3429;95.30234126499015;56.589555569345336
113.65;-109.1143;95.30234126499015;56.589555569345336
114.31;-108.7429;95.30234126499015;56.589555569345336
113.63;-107.7143;95.30234126499015;56.589555569345336
114.04;-109.4;95.30234126499015;56.589555569345336
113.14;-107.7429;95.30234126499015;56.589555569345336
112.56;-108.0286;95.30234126499015;56.589555569345336
112.92;-107.4857;95.30234126499015;56.589555569345336
112.96;-107.0857;95.30234126499015;56.589555569345336
112.74;-107.0857;95.30234126499015;56.589555569345336
111.85;-107.2286;95.30234126499015;56.589555569345336
111.18;-106.4;95.30234126499015;56.589555569345336
111.13;-106.9143;95.30234126499015;56.589555569345336
111.42;-105.8;95.30234126499015;56.589555569345336
111.39;-106.6571;95.30234126499015;56.589555569345336
111.47;-105.4571;95.30234126499015;56.589555569345336
110.76;-105.3429;95.30234126499015;56.589555569345336
110.8;-105.6286;95.30234126499015;56.589555569345336
109.96;-104.7429;95.30234126499015;56.589555569345336
109.16;-104.5714;95.30234126499015;56.589555569345336
108.93;-104.7143;95.30234126499015;56.589555569345336
108.11;-104.7143;95.30234126499015;56.589555569345336
108.33;-103.2;95.30234126499015;56.589555569345336
108.38;-104.3143;95.30234126499015;56.589555569345336
108.29;-103.9714;95.30234126499015;56.589555569345336
108.17;-104.0571;95.30234126499015;56.589555569345336
108.07;-104.0571;95.30234126499015;56.589555569345336
108.07;-102.8286;95.30234126499015;56.589555569345336
106.89;-102.5143;95.30234126499015;56.589555569345336
107.13;-101.9429;95.30234126499015;56.589555569345336
107.84;-102.3143;95.30234126499015;56.589555569345336
106.75;-102.3714;95.30234126499015;56.589555569345336
105.84;-102.6;95.30234126499015;56.589555569345336
106.3;-101.9143;95.30234126499015;56.589555569345336
106.02;-101.7143;95.30234126499015;56.589555569345336
105.83;-101.7714;95.30234126499015;56.589555569345336
105.52;-101.6857;95.30234126499015;56.589555569345336
105.15;-100.6857;95.30234126499015;56.589555569345336
104.4;-100.7714;95.30234126499015;56.589555569345336
104.23;-100.5143;95.30234126499015;56.589555569345336
103.78;-100.2857;95.30234126499015;56.589555569345336
102.99;-100.9714;95.30234126499015;56.589555569345336
102.95;-100.7143;95.30234126499015;56.589555569345336
103.24;-99.9143;95.30234126499015;56.589555569345336
103.51;-99.9143;95.30234126499015;56.589555569345336
103.55;-99.4;95.30234126499015;56.589555569345336
102.63;-98.7143;95.30234126499015;56.589555569345336
102.38;-98.3143;95.30234126499015;56.589555569345336
102.27;-98.6286;95.30234126499015;56.589555569345336
101.7;-99.2571;95.30234126499015;56.589555569345336
101.95;-98.8857;95.30234126499015;56.589555569345336
102.07;-98.4286;95.30234126499015;56.589555569345336
102.27;-97.7714;95.30234126499015;56.589555569345336
102.02;-96.8286;95.30234126499015;56.589555569345336
101.54;-97.5429;95.30234126499015;56.589555569345336
101.03;-97.6286;95.30234126499015;56.589555569345336
100.51;-96.1429;95.30234126499015;56.589555569345336
100.53;-96.3143;95.30234126499015;56.589555569345336
99.94;-97.4286;95.30234126499015;56.589555569345336
99.99;-96.6286;95.30234126499015;56.589555569345336
99.98;-95.9714;95.30234126499015;56.589555569345336
99.41;-96.2857;95.30234126499015;56.589555569345336
98.62;-95.8;95.30234126499015;56.589555569345336
97.96;-95.4286;95.30234126499015;56.589555569345336
98.8;-96.6857;95.30234126499015;56.589555569345336
99.26;-95.4857;95.30234126499015;56.589555569345336
99.61;-95.2286;95.30234126499015;56.589555569345336
99.48;-94.8;95.30234126499015;56.589555569345336
